,Zip_Code,August,pct_below_poverty
105,11213,2.8293241695303553,22.69
106,11214,3.0140201346427027,16.29
107,11215,2.285564166557205,7.09
108,11216,3.252710592160134,16.98
109,11217,3.1084005508557935,13.26
110,11218,2.8925178781086562,18.51
111,11219,2.720535068691251,34.96
112,11220,2.1544245228455754,27.25
113,11221,3.247116784234688,21.34
114,11222,2.2909777987718467,10.18
115,11223,3.3593281343731256,18.65
116,11224,4.101960784313725,28.12
117,11225,2.4563006969039187,17.25
118,11226,2.55420054200542,15.74
119,11228,2.978056426332288,12.07
120,11229,2.823151125401929,13.64
121,11230,3.578932116206622,19.92
122,11231,2.9876123390818554,14.71
123,11232,2.6523297491039424,20.15
124,11233,2.7886160201973835,27.14
125,11234,2.664032567049808,7.51
126,11235,3.7224240509661457,17.12
127,11236,2.340752110514198,12.53
128,11237,3.0101159634838393,29.09
129,11238,3.112494441974211,11.89
130,11239,4.667795972143798,24.84
131,11354,2.290876825038316,19.84
132,11355,1.9695561236346735,21.76
133,11356,2.026160553988202,9.9
134,11357,2.516309412861137,5.32
135,11358,2.077230359520639,9.27
136,11360,2.975698462555794,7.16
137,11361,2.1777620396600565,8.07
138,11362,2.543899144529491,6.03
139,11363,1.7744705208929592,6.96
140,11364,2.1110831867303346,7.39
141,11365,1.985645933014354,12.24
142,11366,2.524735585124531,11.54
143,11367,2.426090414954262,14.53
144,11368,2.8130422869668466,19.69
145,11369,2.164239482200647,15.2
146,11370,2.293577981651376,11.56
147,11372,1.9245212166729253,12.79
148,11373,1.9301731478853252,13.1
149,11374,2.6350866400082027,13.69
150,11375,2.542600295183148,8.43
151,11377,2.1326251408337358,10.81
152,11378,2.6534296028880866,8.72
153,11379,2.525322603024837,7.53
154,11385,2.4607414602557878,10.68
155,11411,2.499393351128367,4.05
156,11412,2.914389799635701,8.18
157,11413,2.6467203682393556,6.77
158,11414,3.640625,9.68
159,11415,2.665876777251185,10.13
160,11416,2.3776223776223775,14.11
161,11417,2.4691358024691357,13.37
162,11418,2.6366149266425687,15.03
163,11419,2.5804289544235925,11.51
164,11420,2.7001716872171064,10.76
165,11421,2.365819209039548,10.37
166,11422,2.6504583499402155,6.37
167,11423,2.494331065759637,9.2
168,11426,2.3275145469659186,7.68
169,11427,2.510460251046025,8.54
170,11428,2.547065337763012,7.64
171,11428,2.547065337763012,7.64
172,11429,2.5479143179255916,8.03
174,11432,2.1251726702794604,14.83
175,11433,3.2643957826439576,16.36
176,11434,2.8938325194429373,9.46
177,11435,2.44151859900294,13.45
178,11436,2.7562111801242235,11.24
179,11691,3.3437720981917365,19.42
180,11692,3.260146373918829,25.6
181,11693,2.8944150020383206,14.34
182,11694,2.412038061518035,11.19
